category,main_category,name,num_reviews,price,rating
Night Cream,Skin Care,Triple Power Anti-Aging Overnight Mask  ,63,$24.99 ,4.2
Eye Cream,Skin Care,Miracle Blur Eye  ,992,$24.99 ,4.1
Facial Moisturizer,Skin Care,Texture Perfector Pore Vanisher™  ,364,$24.99 ,3.5
Facial Moisturizer,Skin Care,Cell Renewal* Golden Serum  ,104,$24.99 ,4.3
Night Cream,Skin Care,Cell Renewal* Night Cream  ,1219,$24.99 ,4.4
Facial Moisturizer,Skin Care,Anti-Wrinkle + Firming Moisturizer  ,702,$17.99 ,4.3
Facial Moisturizer,Skin Care,Lotion  ,27,$8.59 ,4.3
Facial Moisturizer,Skin Care,Day Cream SPF 15  ,1128,$17.99 ,4.3
Facial Moisturizer,Skin Care,Moisturizer SPF 15 Normal to Dry Skin  ,21,$11.99 ,5
Facial Moisturizer,Skin Care,Continuous Moisture Cream  ,86,$8.59 ,2.3
Facial Moisturizer,Skin Care,Double Lifting  ,60,$17.99 ,3.3
Night Cream,Skin Care,Night Cream  ,1024,$17.99 ,4.4
Night Cream,Skin Care,Anti-Wrinkle + Firming Night Cream  ,858,$17.99 ,4.4
Facial Cleanser,Skin Care,Radiant Smoothing Wet Cleansing Towelettes  ,38,$6.69 ,4.2
Facial Cleanser,Skin Care,Radiant Smoothing Cream Cleanser  ,67,$6.99 ,4.2
Self Tanner,Skin Care,Luminous Bronzer  ,60,$10.99 ,3.3
Makeup Remover,Skin Care,Waterproof & Long Wearing Eye Makeup Remover  ,20,$6.99 ,3.2
Facial Moisturizer,Skin Care,Collagen Moisture Filler Day/Night Cream  ,63,$11.49 ,4.3
Facial Moisturizer,Skin Care,Collagen Moisture Filler Day Lotion  ,17,$11.49 ,4.1
Self Tanner,Skin Care,ProPerfect Salon Airbrush Self-Tanning Mist Medium Natural Tan  ,111,$10.99 ,3.6
Self Tanner,Skin Care,Self-Tanning Gelee Medium Natural Tan  ,35,$10.99 ,3.9
Self Tanner,Skin Care,Self-Tanning Lotion Medium Natural Tan  ,22,$10.99 ,4.1
Self Tanner,Skin Care,Towelettes for Body  ,413,$10.99 ,4.1
Makeup Remover,Skin Care,Eye Makeup Remover  ,19,$6.99 ,3.2
Facial Cleanser,Skin Care,Toner  ,47,$6.29 ,4.6
Eye Cream,Skin Care,Anti-Wrinkle + Firming Eye Cream  ,948,$17.99 ,4.4
Highlighters,Makeup,Beach Bae Face & Body Liquid Luminizer ,79,$14.99 ,4.5
Lip Gloss,Makeup,Glowing Lip Gloss ,85,$9.99 ,4.6
Lipstick,Makeup,"Matte Lip Crayon, Lasting Wear, Smudge Resistant ",1,$11.99 ,4
Eye Shadow,Makeup,Shimmer Liquid Eye Shadow Makeup ,,$11.99 ,
Eyebrow Makeup,Makeup,"Micro Ink Pen by Brow Stylist, Up to 48HR Wear ",1104,$10.99 ,4.3
Mascara,Makeup,"Washable Mascara, Lasting Volume ",1232,$10.99 ,4.6
Mascara,Makeup,"Waterproof Mascara, Lasting Volume ",753,$10.99 ,4.5
Face Powder,Makeup,Tinted Loose Setting Powder ,25,$12.99 ,4.8
Eyeliner,Makeup,"Liquid Dip Eyeliner, Waterproof ",722,$10.99 ,4.6
Foundation Makeup,Makeup,Radiant Serum Foundation with SPF 50 ,347,$15.99 ,4.6
Mascara,Makeup,Lash Magnifying Mascara with Conditioning Serum ,,$10.99 ,
Face Powder,Makeup,Creamy Powder Foundation with Minerals ,306,$15.99 ,4.5
Eyeliner,Makeup,Satin Glide Eyeliner with Mineral Pigments ,,$9.99 ,
Eyebrow Makeup,Makeup,Brow Magnifying Pencil with Vitamin E ,,$9.99 ,
Lip Liner,Makeup,Anti-Feathering Lip Liner - Smooth Application ,,$9.99 ,
Lipstick,Makeup,Luminous Hydrating Lipstick + Nourishing Serum ,,$10.99 ,
Concealer,Makeup,Radiant Concealer with Hydrating Serum ,63,$12.99 ,4.6
Lipstick,Makeup,Satin Lipstick with Precious Oils ,,$9.99 ,
Blush,Makeup,Radiant Satin Blush with Camellia Oil ,,$12.99 ,
Lip Gloss,Makeup,Crushed Foils Metallic Lip Gloss ,3,$9.99 ,5
Eye Shadow,Makeup,Crushed Foils Metallic Eye Shadow ,5,$9.99 ,4.2
Mascara,Makeup,Lash Paradise™ Mystic Black ,66,$10.95 ,4.2
Lipstick,Makeup,Shine Lipstick ,580,$9.99 ,4.5
Lipstick,Makeup,Gold Addiction Satin Lipstick ,6,$9.99 ,4.3
Eyebrow Makeup,Makeup,Longwear Waterproof Brow Gel ,2365,$16.99 ,4.2
Mascara,Makeup,Lash Lifting and Lengthening Washable Mascara ,470,$12.99 ,4.6
Concealer,Makeup,"Full Wear Concealer Waterproof, Full Coverage ",581,$12.99 ,4.5
Foundation Makeup,Makeup,"24 Hour Fresh Wear Foundation, Lightweight ",1406,$14.99 ,4.5
Mascara,Makeup,Lash Lifting and Lengthening Waterproof Mascara Blackest Black ,198,$12.99 ,4.3
